  [line] (924.8399658203125, 1097.0400390625, 925.02001953125, 1096.8599853515625)
  [line] (925.02001953125, 1096.8599853515625, 925.5599975585938, 1096.6800537109375)
  [line] (932.5800170898438, 1109.4599609375, 933.4800415039062, 1109.2799072265625)
  [line] (933.4800415039062, 1109.2799072265625, 934.02001953125, 1109.2799072265625)
  [line] (934.02001953125, 1109.2799072265625, 934.3800048828125, 1109.0999755859375)
  [line] (934.3800048828125, 1109.0999755859375, 934.9200439453125, 1108.919921875)
  [line] (934.9200439453125, 1108.919921875, 935.280029296875, 1108.739990234375)
  [line] (935.280029296875, 1108.739990234375, 935.8200073242188, 1108.5599365234375)
  [line] (935.8200073242188, 1108.5599365234375, 936.3600463867188, 1108.3800048828125)
  [line] (936.3600463867188, 1108.3800048828125, 936.5400390625, 1108.199951171875)
  [line] (936.5400390625, 1108.199951171875, 936.5400390625, 1108.02001953125)
  [line] (936.5400390625, 1108.02001953125, 936.7200317382812, 1107.8399658203125)
  [line] (936.7200317382812, 1107.8399658203125, 936.7200317382812, 1107.659912109375)
  [line] (936.7200317382812, 1107.659912109375, 936.9000244140625, 1107.47998046875)
  [line] (936.9000244140625, 1107.47998046875, 937.0800170898438, 1107.1199951171875)
  [line] (926.0999755859375, 1108.739990234375, 926.6399536132812, 1108.9200439453125)
  [line] (926.6399536132812, 1108.9200439453125, 927.0, 1109.0999755859375)
  [line] (927.0, 1109.0999755859375, 927.3599853515625, 1109.280029296875)
  [line] (927.3599853515625, 1109.280029296875, 927.719970703125, 1109.4599609375)
  [line] (927.719970703125, 1109.4599609375, 928.0799560546875, 1109.4599609375)
  [line] (928.0799560546875, 1109.4599609375, 928.4400024414062, 1109.6400146484375)
  [line] (928.4400024414062, 1109.6400146484375, 928.7999877929688, 1109.6400146484375)
  [line] (928.7999877929688, 1109.6400146484375, 929.3399658203125, 1109.8199462890625)
  [line] (929.3399658203125, 1109.8199462890625, 929.8800048828125, 1109.8199462890625)
  [line] (929.8800048828125, 1109.8199462890625, 930.4199829101562, 1109.8199462890625)
  [line] (930.4199829101562, 1109.8199462890625, 930.7799682617188, 1109.8199462890625)
  [line] (930.7799682617188, 1109.8199462890625, 931.3199462890625, 1109.6400146484375)
  [line] (931.3199462890625, 1109.6400146484375, 931.6799926757812, 1109.6400146484375)
  [line] (937.260009765625, 1106.760009765625, 937.4400024414062, 1106.219970703125)
  [line] (937.4400024414062, 1106.219970703125, 937.6199951171875, 1105.8599853515625)
  [line] (937.6199951171875, 1105.8599853515625, 937.6199951171875, 1105.5)
  [line] (937.6199951171875, 1105.5, 937.7999877929688, 1105.1400146484375)
  [line] (937.7999877929688, 1105.1400146484375, 937.7999877929688, 1104.780029296875)
  [line] (937.7999877929688, 1104.780029296875, 937.97998046875, 1104.4200439453125)
  [line] (923.219970703125, 1106.5799560546875, 923.5799560546875, 1106.93994140625)
  [line] (923.5799560546875, 1106.93994140625, 923.93994140625, 1107.2999267578125)
  [line] (923.93994140625, 1107.2999267578125, 924.2999877929688, 1107.47998046875)
  [line] (924.2999877929688, 1107.47998046875, 924.6599731445312, 1107.8399658203125)
  [line] (924.6599731445312, 1107.8399658203125, 925.0199584960938, 1108.0198974609375)
  [line] (925.0199584960938, 1108.0198974609375, 925.3799438476562, 1108.199951171875)
  [line] (1001.3400268554688, 1099.3800048828125, 1001.3400268554688, 1099.739990234375)
  [line] (1001.3400268554688, 1099.739990234375, 1001.52001953125, 1100.0999755859375)
  [line] (1001.52001953125, 1100.0999755859375, 1001.7000122070312, 1100.4599609375)
  [line] (1001.7000122070312, 1100.4599609375, 1001.8800048828125, 1100.6400146484375)
  [line] (1001.8800048828125, 1100.6400146484375, 1002.2400512695312, 1101.0)
  [line] (1002.2400512695312, 1101.0, 1002.6000366210938, 1101.1800537109375)
  [line] (1002.6000366210938, 1101.1800537109375, 1002.9600219726562, 1101.5400390625)
  [line] (1002.9600219726562, 1101.5400390625, 1003.5, 1101.719970703125)
  [line] (1003.5, 1101.719970703125, 1003.8600463867188, 1101.9000244140625)
  [line] (1003.8600463867188, 1101.9000244140625, 1004.4000244140625, 1101.9000244140625)
  [line] (1004.4000244140625, 1101.9000244140625, 1004.9400024414062, 1102.0799560546875)
  [line] (1004.9400024414062, 1102.0799560546875, 1005.6600341796875, 1102.0799560546875)
  [line] (1005.6600341796875, 1102.0799560546875, 1006.2000122070312, 1102.0799560546875)
  [line] (1006.2000122070312, 1102.0799560546875, 1006.7400512695312, 1102.0799560546875)
  [line] (1006.7400512695312, 1102.0799560546875, 1007.280029296875, 1101.9000244140625)
  [line] (1007.280029296875, 1101.9000244140625, 1007.8200073242188, 1101.9000244140625)
  [line] (1007.8200073242188, 1101.9000244140625, 1008.3600463867188, 1101.719970703125)
  [line] (1008.3600463867188, 1101.719970703125, 1008.7200317382812, 1101.5400390625)
  [line] (1008.7200317382812, 1101.5400390625, 1009.260009765625, 1101.1800537109375)
  [line] (1009.260009765625, 1101.1800537109375, 1009.6200561523438, 1101.0)
  [line] (1009.6200561523438, 1101.0, 1009.800048828125, 1100.6400146484375)
  [line] (1009.800048828125, 1100.6400146484375, 1010.1600341796875, 1100.4599609375)
  [line] (1010.1600341796875, 1100.4599609375, 1010.1600341796875, 1100.0999755859375)
  [line] (1010.1600341796875, 1100.0999755859375, 1010.3400268554688, 1099.739990234375)
  [line] (1001.3400268554688, 1096.6800537109375, 1000.800048828125, 1096.860107421875)
  [line] (1000.800048828125, 1096.860107421875, 1000.4400024414062, 1097.2200927734375)
